1 = STABLE_STATE, 0 = EXCITED_STATE
Step	 X 	 Y 	 d 	 state 
671	-0.6012	-1.2724	1.4073	0
672	-0.6627	-0.7762	1.0206	0
673	-1.0892	-1.0372	1.5040	0
674	-0.5987	-0.9402	1.1147	0
675	-0.3373	-1.3664	1.4075	0
676	0.1045	-1.6006	1.6040	0
677	0.6044	-1.5893	1.7003	0
678	0.1750	-1.3331	1.3445	0
679	0.0171	-0.8587	0.8589	0
680	0.4471	-0.6035	0.7511	0
681	0.3628	-0.1107	0.3793	1
682	0.5595	-0.5703	0.7989	0
683	1.0373	-0.4232	1.1203	0
684	1.2852	-0.8575	1.5450	0
685	0.8367	-0.6363	1.0512	0
